Players,Wicket Status,Wicket Type,R_ball,B,M_ball,4s_ball,6s_ball,SR,Month,Day,Year,Ground_Played,Team_ball,O,M_bat,R_bat,W,Econ,0s,4s_bat,6s_bat,WD,NB,Team_bat
EJ Chatfield,not out,not out,3.0,6.0,0.0,0.0,0.0,50.0,Jun,20,1983,"Trent Bridge, Nottingham",New Zealand,12.0,0.0,57.0,0.0,4.75,0.0,0.0,0.0,0.0,0.0,New Zealand
Mohsin Khan,c Cairns b Coney,c b,33.0,64.0,0.0,3.0,0.0,51.56,Jun,20,1983,"Trent Bridge, Nottingham",Pakistan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Mudassar Nazar,b Coney,b,15.0,60.0,0.0,0.0,0.0,25.0,Jun,20,1983,"Trent Bridge, Nottingham",Pakistan,12.0,0.0,43.0,3.0,3.58,0.0,0.0,0.0,0.0,0.0,Pakistan
Javed Miandad,b Hadlee,b,25.0,45.0,0.0,1.0,0.0,55.55,Jun,20,1983,"Trent Bridge, Nottingham",Pakistan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Zaheer Abbas,not out,not out,103.0,121.0,0.0,6.0,0.0,85.12,Jun,20,1983,"Trent Bridge, Nottingham",Pakistan,4.0,1.0,8.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,Pakistan
Imran Khan,not out,not out,79.0,74.0,0.0,7.0,1.0,106.75,Jun,20,1983,"Trent Bridge, Nottingham",Pakistan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
DA Warner,c Rubel Hossain b Soumya Sarkar,c b,166.0,147.0,184.0,14.0,5.0,112.92,Jun,20,2019,"Trent Bridge, Nottingham",Australia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
AJ Finch,c Rubel Hossain b Soumya Sarkar,c b,53.0,51.0,91.0,5.0,2.0,103.92,Jun,20,2019,"Trent Bridge, Nottingham",Australia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
UT Khawaja,c â Mushfiqur Rahim b Soumya Sarkar,c b,89.0,72.0,110.0,10.0,0.0,123.61,Jun,20,2019,"Trent Bridge, Nottingham",Australia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
GJ Maxwell,run out (Rubel Hossain),run out,32.0,10.0,14.0,2.0,3.0,320.0,Jun,20,2019,"Trent Bridge, Nottingham",Australia,3.0,0.0,25.0,0.0,8.33,5.0,3.0,0.0,0.0,0.0,Australia
MP Stoinis,not out,not out,17.0,11.0,22.0,2.0,0.0,154.54,Jun,20,2019,"Trent Bridge, Nottingham",Australia,8.0,0.0,54.0,2.0,6.75,13.0,5.0,0.0,0.0,0.0,Australia
SPD Smith,lbw b Mustafizur Rahman,lbw b,1.0,2.0,4.0,0.0,0.0,50.0,Jun,20,2019,"Trent Bridge, Nottingham",Australia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
AT Carey,not out,not out,11.0,8.0,14.0,1.0,0.0,137.5,Jun,20,2019,"Trent Bridge, Nottingham",Australia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Tamim Iqbal,b Starc,b,62.0,74.0,103.0,6.0,0.0,83.78,Jun,20,2019,"Trent Bridge, Nottingham",Bangladesh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Soumya Sarkar,run out (Finch),run out,10.0,8.0,18.0,2.0,0.0,125.0,Jun,20,2019,"Trent Bridge, Nottingham",Bangladesh,8.0,0.0,58.0,3.0,7.25,17.0,6.0,1.0,0.0,0.0,Bangladesh
Shakib Al,c Warner b Stoinis,c b,41.0,41.0,61.0,4.0,0.0,100.0,Jun,20,2019,"Trent Bridge, Nottingham",Bangladesh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Mushfiqur Rahim,not out,not out,102.0,97.0,146.0,9.0,1.0,105.15,Jun,20,2019,"Trent Bridge, Nottingham",Bangladesh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Liton Das,lbw b Zampa,lbw b,20.0,17.0,29.0,3.0,0.0,117.64,Jun,20,2019,"Trent Bridge, Nottingham",Bangladesh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Mahmudullah,c Cummins b Coulter-Nile,c b,69.0,50.0,70.0,5.0,3.0,138.0,Jun,20,2019,"Trent Bridge, Nottingham",Bangladesh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Sabbir Rahman,b Coulter-Nile,b,0.0,1.0,2.0,0.0,0.0,0.0,Jun,20,2019,"Trent Bridge, Nottingham",Bangladesh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Mehidy Hasan,c Warner b Starc,c b,6.0,7.0,14.0,0.0,0.0,85.71,Jun,20,2019,"Trent Bridge, Nottingham",Bangladesh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Mashrafe Mortaza,c Maxwell b Stoinis,c b,6.0,5.0,7.0,1.0,0.0,120.0,Jun,20,2019,"Trent Bridge, Nottingham",Bangladesh,8.0,0.0,56.0,0.0,7.0,22.0,6.0,2.0,0.0,0.0,Bangladesh
Javed Omar,b Collingwood,b,59.0,106.0,145.0,7.0,0.0,55.66,Jun,21,2005,"Trent Bridge, Nottingham",Bangladesh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Shahriar Nafees,b Tremlett,b,10.0,28.0,37.0,1.0,0.0,35.71,Jun,21,2005,"Trent Bridge, Nottingham",Bangladesh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Tushar Imran,c â Jones b Tremlett,c b,0.0,1.0,1.0,0.0,0.0,0.0,Jun,21,2005,"Trent Bridge, Nottingham",Bangladesh,3.0,0.0,26.0,0.0,8.66,7.0,2.0,1.0,0.0,0.0,Bangladesh
Mohammad Ashraful,b Collingwood,b,94.0,52.0,64.0,11.0,3.0,180.76,Jun,21,2005,"Trent Bridge, Nottingham",Bangladesh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Habibul Bashar,c Strauss b Collingwood,c b,16.0,23.0,22.0,1.0,0.0,69.56,Jun,21,2005,"Trent Bridge, Nottingham",Bangladesh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Aftab Ahmed,c & b Collingwood,c b,0.0,1.0,1.0,0.0,0.0,0.0,Jun,21,2005,"Trent Bridge, Nottingham",Bangladesh,10.0,0.0,65.0,1.0,6.5,27.0,5.0,1.0,1.0,0.0,Bangladesh
Khaled Mashud,c â Jones b Collingwood,c b,8.0,12.0,18.0,0.0,0.0,66.66,Jun,21,2005,"Trent Bridge, Nottingham",Bangladesh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Mohammad Rafique,b Tremlett,b,19.0,33.0,40.0,2.0,0.0,57.57,Jun,21,2005,"Trent Bridge, Nottingham",Bangladesh,10.0,0.0,54.0,0.0,5.4,32.0,4.0,2.0,1.0,0.0,Bangladesh
Mashrafe Mortaza,b Collingwood,b,0.0,8.0,7.0,0.0,0.0,0.0,Jun,21,2005,"Trent Bridge, Nottingham",Bangladesh,10.0,0.0,71.0,0.0,7.1,30.0,9.0,1.0,2.0,2.0,Bangladesh
Tapash Baisya,b Tremlett,b,3.0,6.0,6.0,0.0,0.0,50.0,Jun,21,2005,"Trent Bridge, Nottingham",Bangladesh,7.0,0.0,87.0,0.0,12.42,16.0,13.0,1.0,2.0,7.0,Bangladesh
Nazmul Hossain,not out,not out,2.0,6.0,13.0,0.0,0.0,33.33,Jun,21,2005,"Trent Bridge, Nottingham",Bangladesh,10.0,0.0,83.0,3.0,8.3,27.0,11.0,2.0,2.0,0.0,Bangladesh
ME Trescothick,c Shahriar Nafees b Nazmul Hossain,c b,85.0,65.0,81.0,14.0,2.0,130.76,Jun,21,2005,"Trent Bridge, Nottingham",England,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
AJ Strauss,lbw b Nazmul Hossain,lbw b,152.0,128.0,207.0,19.0,0.0,118.75,Jun,21,2005,"Trent Bridge, Nottingham",England,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
MP Vaughan,b Nazmul Hossain,b,0.0,8.0,8.0,0.0,0.0,0.0,Jun,21,2005,"Trent Bridge, Nottingham",England,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
A Flintoff,c Habibul Bashar b Aftab Ahmed,c b,17.0,21.0,19.0,1.0,1.0,80.95,Jun,21,2005,"Trent Bridge, Nottingham",England,4.0,0.0,30.0,0.0,7.5,11.0,4.0,1.0,0.0,0.0,England
PD Collingwood,not out,not out,112.0,86.0,96.0,10.0,5.0,130.23,Jun,21,2005,"Trent Bridge, Nottingham",England,10.0,1.0,31.0,6.0,3.1,39.0,3.0,0.0,0.0,0.0,England
GO Jones,not out,not out,2.0,1.0,1.0,0.0,0.0,200.0,Jun,21,2005,"Trent Bridge, Nottingham",England,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
JJ Roy,lbw b Mathews,lbw b,3.0,10.0,7.0,0.0,0.0,30.0,Jun,21,2016,"Trent Bridge, Nottingham",England,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
AD Hales,c Perera b Lakmal,c b,4.0,5.0,13.0,1.0,0.0,80.0,Jun,21,2016,"Trent Bridge, Nottingham",England,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
JE Root,b Mathews,b,2.0,6.0,19.0,0.0,0.0,33.33,Jun,21,2016,"Trent Bridge, Nottingham",England,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
EJG Morgan,c â Chandimal b Pradeep,c b,43.0,49.0,58.0,7.0,0.0,87.75,Jun,21,2016,"Trent Bridge, Nottingham",England,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
JM Bairstow,c Gunathilaka b Lakmal,c b,3.0,6.0,13.0,0.0,0.0,50.0,Jun,21,2016,"Trent Bridge, Nottingham",England,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
JC Buttler,c Shanaka b Prasanna,c b,93.0,99.0,145.0,6.0,1.0,93.93,Jun,21,2016,"Trent Bridge, Nottingham",England,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
MM Ali,b Pradeep,b,7.0,10.0,10.0,1.0,0.0,70.0,Jun,21,2016,"Trent Bridge, Nottingham",England,10.0,0.0,69.0,1.0,6.9,24.0,6.0,3.0,0.0,0.0,England
CR Woakes,not out,not out,95.0,92.0,145.0,4.0,0.0,103.26,Jun,21,2016,"Trent Bridge, Nottingham",England,10.0,0.0,56.0,2.0,5.6,25.0,5.0,0.0,2.0,0.0,England
DJ Willey,c Mendis b Maharoof,c b,7.0,12.0,17.0,0.0,0.0,58.33,Jun,21,2016,"Trent Bridge, Nottingham",England,10.0,0.0,56.0,2.0,5.6,27.0,5.0,1.0,1.0,0.0,England
LE Plunkett,not out,not out,22.0,11.0,27.0,2.0,1.0,200.0,Jun,21,2016,"Trent Bridge, Nottingham",England,10.0,0.0,67.0,2.0,6.7,29.0,6.0,3.0,0.0,1.0,England
MDKJ Perera,c Roy b Willey,c b,24.0,23.0,33.0,4.0,0.0,104.34,Jun,21,2016,"Trent Bridge, Nottingham",Sri Lanka,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
MD Gunathilaka,c Bairstow b Willey,c b,9.0,10.0,16.0,1.0,0.0,90.0,Jun,21,2016,"Trent Bridge, Nottingham",Sri Lanka,1.0,0.0,10.0,0.0,10.0,0.0,1.0,0.0,0.0,0.0,Sri Lanka
BKG Mendis,c â Buttler b Woakes,c b,17.0,14.0,25.0,2.0,1.0,121.42,Jun,21,2016,"Trent Bridge, Nottingham",Sri Lanka,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
LD Chandimal,c Woakes b Ali,c b,37.0,56.0,65.0,3.0,0.0,66.07,Jun,21,2016,"Trent Bridge, Nottingham",Sri Lanka,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
AD Mathews,c Woakes b Plunkett,c b,73.0,109.0,145.0,5.0,0.0,66.97,Jun,21,2016,"Trent Bridge, Nottingham",Sri Lanka,6.0,0.0,22.0,2.0,3.66,21.0,1.0,0.0,0.0,0.0,Sri Lanka
S Prasanna,c & b Woakes,c b,59.0,28.0,29.0,8.0,4.0,210.71,Jun,21,2016,"Trent Bridge, Nottingham",Sri Lanka,10.0,0.0,43.0,1.0,4.3,25.0,0.0,1.0,0.0,0.0,Sri Lanka
WU Tharanga,c â Buttler b Plunkett,c b,3.0,4.0,7.0,0.0,0.0,75.0,Jun,21,2016,"Trent Bridge, Nottingham",Sri Lanka,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
MD Shanaka,run out (Plunkett/Willey),run out,20.0,19.0,23.0,1.0,1.0,105.26,Jun,21,2016,"Trent Bridge, Nottingham",Sri Lanka,3.0,0.0,21.0,0.0,7.0,6.0,3.0,0.0,0.0,0.0,Sri Lanka
MF Maharoof,not out,not out,31.0,30.0,41.0,1.0,1.0,103.33,Jun,21,2016,"Trent Bridge, Nottingham",Sri Lanka,10.0,0.0,59.0,1.0,5.9,20.0,2.0,0.0,0.0,0.0,Sri Lanka
RAS Lakmal,run out (Willey/Woakes),run out,7.0,8.0,14.0,0.0,0.0,87.5,Jun,21,2016,"Trent Bridge, Nottingham",Sri Lanka,10.0,0.0,65.0,2.0,6.5,31.0,9.0,0.0,3.0,0.0,Sri Lanka
ME Trescothick,c Flower b Streak,c b,38.0,38.0,49.0,8.0,0.0,100.0,Jun,26,2003,"Trent Bridge, Nottingham",England,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
VS Solanki,c Ebrahim b Streak,c b,1.0,3.0,9.0,0.0,0.0,33.33,Jun,26,2003,"Trent Bridge, Nottingham",England,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
MP Vaughan,c â Taibu b Ervine,c b,13.0,22.0,35.0,2.0,0.0,59.09,Jun,26,2003,"Trent Bridge, Nottingham",England,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
RWT Key,b Price,b,11.0,37.0,57.0,0.0,0.0,29.72,Jun,26,2003,"Trent Bridge, Nottingham",England,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
A Flintoff,c Blignaut b Marillier,c b,53.0,89.0,103.0,6.0,0.0,59.55,Jun,26,2003,"Trent Bridge, Nottingham",England,10.0,2.0,24.0,0.0,2.4,45.0,1.0,0.0,1.0,0.0,England
A McGrath,run out (Friend/â Taibu),run out,14.0,42.0,35.0,1.0,0.0,33.33,Jun,26,2003,"Trent Bridge, Nottingham",England,6.0,0.0,35.0,0.0,5.83,19.0,2.0,1.0,1.0,0.0,England
R Clarke,b Blignaut,b,23.0,39.0,47.0,1.0,0.0,58.97,Jun,26,2003,"Trent Bridge, Nottingham",England,3.0,0.0,13.0,0.0,4.33,11.0,2.0,0.0,0.0,0.0,England
CMW Read,c Brent b Blignaut,c b,23.0,32.0,31.0,1.0,0.0,71.87,Jun,26,2003,"Trent Bridge, Nottingham",England,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
RL Johnson,not out,not out,0.0,0.0,3.0,0.0,0.0,0.0,Jun,26,2003,"Trent Bridge, Nottingham",England,10.0,1.0,32.0,3.0,3.2,45.0,4.0,0.0,0.0,0.0,England
AF Giles,not out,not out,1.0,1.0,1.0,0.0,0.0,100.0,Jun,26,2003,"Trent Bridge, Nottingham",England,9.0,0.0,50.0,0.0,5.55,23.0,5.0,0.0,0.0,0.0,England
DA Marillier,c Clarke b Gough,c b,0.0,5.0,11.0,0.0,0.0,0.0,Jun,26,2003,"Trent Bridge, Nottingham",Zimbabwe,10.0,0.0,30.0,1.0,3.0,37.0,2.0,0.0,0.0,0.0,Zimbabwe
DD Ebrahim,c Flintoff b Johnson,c b,1.0,7.0,4.0,0.0,0.0,14.28,Jun,26,2003,"Trent Bridge, Nottingham",Zimbabwe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
TJ Friend,c Clarke b Gough,c b,5.0,15.0,15.0,1.0,0.0,33.33,Jun,26,2003,"Trent Bridge, Nottingham",Zimbabwe,1.0,0.0,14.0,0.0,14.0,2.0,3.0,0.0,1.0,0.0,Zimbabwe
GW Flower,not out,not out,96.0,152.0,175.0,10.0,0.0,63.15,Jun,26,2003,"Trent Bridge, Nottingham",Zimbabwe,4.0,0.0,14.0,0.0,3.5,12.0,0.0,0.0,1.0,0.0,Zimbabwe
T Taibu,c Solanki b Johnson,c b,4.0,9.0,17.0,1.0,0.0,44.44,Jun,26,2003,"Trent Bridge, Nottingham",Zimbabwe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
S Matsikenyeri,c Clarke b Johnson,c b,44.0,55.0,82.0,3.0,1.0,80.0,Jun,26,2003,"Trent Bridge, Nottingham",Zimbabwe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
HH Streak,run out (Vaughan),run out,7.0,21.0,32.0,0.0,0.0,33.33,Jun,26,2003,"Trent Bridge, Nottingham",Zimbabwe,9.0,1.0,30.0,2.0,3.33,37.0,3.0,0.0,3.0,0.0,Zimbabwe
SM Ervine,not out,not out,26.0,25.0,31.0,2.0,0.0,104.0,Jun,26,2003,"Trent Bridge, Nottingham",Zimbabwe,8.0,1.0,26.0,1.0,3.25,33.0,3.0,0.0,0.0,1.0,Zimbabwe
ME Trescothick,c Sangakkara b Vaas,c b,26.0,25.0,37.0,4.0,0.0,104.0,Jun,27,2002,"Trent Bridge, Nottingham",England,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
NV Knight,lbw b Zoysa,lbw b,20.0,18.0,25.0,3.0,0.0,111.11,Jun,27,2002,"Trent Bridge, Nottingham",England,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
N Hussain,b Fernando,b,32.0,41.0,62.0,3.0,0.0,78.04,Jun,27,2002,"Trent Bridge, Nottingham",England,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
GP Thorpe,b Fernando,b,18.0,31.0,54.0,1.0,0.0,58.06,Jun,27,2002,"Trent Bridge, Nottingham",England,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
AJ Stewart,b Vaas,b,83.0,103.0,106.0,8.0,0.0,80.58,Jun,27,2002,"Trent Bridge, Nottingham",England,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
RC Irani,c Jayawardene b Arnold,c b,39.0,55.0,66.0,1.0,0.0,70.9,Jun,27,2002,"Trent Bridge, Nottingham",England,10.0,0.0,39.0,0.0,3.9,35.0,3.0,1.0,0.0,0.0,England
A Flintoff,not out,not out,50.0,28.0,38.0,5.0,2.0,178.57,Jun,27,2002,"Trent Bridge, Nottingham",England,10.0,0.0,49.0,3.0,4.9,29.0,5.0,0.0,1.0,0.0,England
PD Collingwood,not out,not out,10.0,3.0,2.0,2.0,0.0,333.33,Jun,27,2002,"Trent Bridge, Nottingham",England,5.0,0.0,31.0,2.0,6.2,12.0,2.0,0.0,1.0,0.0,England
ST Jayasuriya,c Hussain b Hoggard,c b,12.0,17.0,18.0,2.0,0.0,70.58,Jun,27,2002,"Trent Bridge, Nottingham",Sri Lanka,10.0,0.0,51.0,0.0,5.1,28.0,5.0,0.0,1.0,0.0,Sri Lanka
RS Kaluwitharana,c Thorpe b Collingwood,c b,52.0,64.0,113.0,5.0,1.0,81.25,Jun,27,2002,"Trent Bridge, Nottingham",Sri Lanka,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
MS Atapattu,c Irani b Flintoff,c b,47.0,58.0,61.0,7.0,0.0,81.03,Jun,27,2002,"Trent Bridge, Nottingham",Sri Lanka,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
DPMD Jayawardene,b Collingwood,b,29.0,37.0,38.0,3.0,0.0,78.37,Jun,27,2002,"Trent Bridge, Nottingham",Sri Lanka,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
RP Arnold,run out (Hoggard),run out,29.0,46.0,52.0,2.0,0.0,63.04,Jun,27,2002,"Trent Bridge, Nottingham",Sri Lanka,6.0,0.0,41.0,1.0,6.83,11.0,5.0,0.0,0.0,0.0,Sri Lanka
KC Sangakkara,c Kirtley b Flintoff,c b,22.0,28.0,48.0,2.0,0.0,78.57,Jun,27,2002,"Trent Bridge, Nottingham",Sri Lanka,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
UDU Chandana,c Thorpe b Flintoff,c b,1.0,4.0,5.0,0.0,0.0,25.0,Jun,27,2002,"Trent Bridge, Nottingham",Sri Lanka,10.0,0.0,43.0,0.0,4.3,30.0,2.0,0.0,1.0,0.0,Sri Lanka
MN Nawaz,not out,not out,15.0,22.0,41.0,0.0,0.0,68.18,Jun,27,2002,"Trent Bridge, Nottingham",Sri Lanka,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
WPUJC Vaas,b Kirtley,b,10.0,14.0,22.0,1.0,0.0,71.42,Jun,27,2002,"Trent Bridge, Nottingham",Sri Lanka,9.0,0.0,58.0,2.0,6.44,28.0,6.0,1.0,0.0,0.0,Sri Lanka
DNT Zoysa,b Kirtley,b,0.0,1.0,2.0,0.0,0.0,0.0,Jun,27,2002,"Trent Bridge, Nottingham",Sri Lanka,7.0,0.0,46.0,1.0,6.57,23.0,6.0,0.0,0.0,3.0,Sri Lanka
CRD Fernando,not out,not out,5.0,13.0,12.0,0.0,0.0,38.46,Jun,27,2002,"Trent Bridge, Nottingham",Sri Lanka,8.0,0.0,46.0,2.0,5.75,23.0,3.0,1.0,1.0,1.0,Sri Lanka
ME Trescothick,c Lara b Bradshaw,c b,0.0,4.0,2.0,0.0,0.0,0.0,Jun,27,2004,"Trent Bridge, Nottingham",England,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
MP Vaughan,c Sarwan b Bradshaw,c b,1.0,6.0,11.0,0.0,0.0,16.66,Jun,27,2004,"Trent Bridge, Nottingham",England,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
GO Jones,b Rampaul,b,35.0,45.0,79.0,7.0,0.0,77.77,Jun,27,2004,"Trent Bridge, Nottingham",England,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
AJ Strauss,c â Jacobs b Bravo,c b,43.0,63.0,94.0,6.0,0.0,68.25,Jun,27,2004,"Trent Bridge, Nottingham",England,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
PD Collingwood,c â Jacobs b Rampaul,c b,5.0,13.0,17.0,0.0,0.0,38.46,Jun,27,2004,"Trent Bridge, Nottingham",England,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
A McGrath,c Gayle b Bravo,c b,9.0,16.0,22.0,1.0,0.0,56.25,Jun,27,2004,"Trent Bridge, Nottingham",England,2.0,0.0,13.0,1.0,6.5,7.0,2.0,0.0,1.0,0.0,England
ID Blackwell,c Chanderpaul b Bravo,c b,4.0,7.0,10.0,1.0,0.0,57.14,Jun,27,2004,"Trent Bridge, Nottingham",England,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
R Clarke,lbw b Smith,lbw b,11.0,31.0,60.0,0.0,0.0,35.48,Jun,27,2004,"Trent Bridge, Nottingham",England,4.0,0.0,30.0,0.0,7.5,11.0,5.0,0.0,0.0,0.0,England
D Gough,b Lawson,b,13.0,41.0,39.0,1.0,0.0,31.7,Jun,27,2004,"Trent Bridge, Nottingham",England,9.0,0.0,33.0,0.0,3.66,40.0,5.0,0.0,3.0,0.0,England
SJ Harmison,b Lawson,b,2.0,4.0,4.0,0.0,0.0,50.0,Jun,27,2004,"Trent Bridge, Nottingham",England,10.0,2.0,29.0,0.0,2.9,44.0,2.0,0.0,3.0,0.0,England
JM Anderson,not out,not out,2.0,5.0,4.0,0.0,0.0,40.0,Jun,27,2004,"Trent Bridge, Nottingham",England,7.2,0.0,39.0,2.0,5.31,31.0,6.0,0.0,6.0,0.0,England
CH Gayle,not out,not out,60.0,90.0,147.0,9.0,0.0,66.66,Jun,27,2004,"Trent Bridge, Nottingham",West Indies,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
S Chanderpaul,b McGrath,b,20.0,54.0,85.0,2.0,0.0,37.03,Jun,27,2004,"Trent Bridge, Nottingham",West Indies,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
DR Smith,c Trescothick b Anderson,c b,6.0,9.0,9.0,1.0,0.0,66.66,Jun,27,2004,"Trent Bridge, Nottingham",West Indies,3.2,1.0,10.0,1.0,3.0,12.0,0.0,0.0,0.0,0.0,West Indies
RR Sarwan,c Trescothick b Anderson,c b,13.0,12.0,15.0,2.0,0.0,108.33,Jun,27,2004,"Trent Bridge, Nottingham",West Indies,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
BC Lara,not out,not out,32.0,29.0,31.0,6.0,0.0,110.34,Jun,27,2004,"Trent Bridge, Nottingham",West Indies,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
JJ Roy,lbw b Shadab Khan,lbw b,8.0,7.0,11.0,2.0,0.0,114.28,Jun,3,2019,"Trent Bridge, Nottingham",England,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
JM Bairstow,c â Sarfaraz Ahmed b Wahab Riaz,c b,32.0,31.0,46.0,4.0,1.0,103.22,Jun,3,2019,"Trent Bridge, Nottingham",England,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
JE Root,c Mohammad Hafeez b Shadab Khan,c b,107.0,104.0,168.0,10.0,1.0,102.88,Jun,3,2019,"Trent Bridge, Nottingham",England,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
EJG Morgan,b Mohammad Hafeez,b,9.0,18.0,31.0,1.0,0.0,50.0,Jun,3,2019,"Trent Bridge, Nottingham",England,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
BA Stokes,c â Sarfaraz Ahmed b Shoaib Malik,c b,13.0,18.0,27.0,1.0,0.0,72.22,Jun,3,2019,"Trent Bridge, Nottingham",England,7.0,0.0,43.0,0.0,6.14,15.0,4.0,0.0,0.0,0.0,England
JC Buttler,c Wahab Riaz b Mohammad Amir,c b,103.0,76.0,103.0,9.0,2.0,135.52,Jun,3,2019,"Trent Bridge, Nottingham",England,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
MM Ali,c Fakhar Zaman b Wahab Riaz,c b,19.0,20.0,48.0,1.0,0.0,95.0,Jun,3,2019,"Trent Bridge, Nottingham",England,10.0,0.0,50.0,3.0,5.0,24.0,4.0,0.0,0.0,0.0,England
